R_name,R_rating,location
Chidya Ghar,5.0,Rishikesh
The Spot by Villa Shanti,4.5,Pondicherry
Finz,5.0,Pondicherry
Seashellz by Club Mahindra Puducherry,5.0,Pondicherry
Crepe in Touch,5.0,Pondicherry
LA VILLA,4.5,Pondicherry
Villa Shanti,4.5,Pondicherry
Coromandel Cafe,4.5,Pondicherry
Shyamas Kitchen,5.0,Pondicherry
Surguru,4.0,Pondicherry
Les Chefs,4.5,Pondicherry
New Banana Cafe Restaurant,4.5,Pondicherry
Cafe des Arts,4.0,Pondicherry
Surguru,4.0,Pondicherry
Cafe Xtasi,4.0,Pondicherry
Palais de Mahe,4.5,Pondicherry
LB Lounge Pondy,4.5,Pondicherry
The Indian Kaffe Express,4.0,Pondicherry
Maison Perumal Restaurant,4.5,Pondicherry
Sri Kamatchi Non Veg Hotel,4.0,Pondicherry
Le chateau,4.0,Pondicherry
DisDis Co,4.0,Pondicherry
The Smoothie Bar,4.5,Pondicherry
Le Dupleix Restaurant,4.0,Pondicherry
La Pasta World,4.5,Pondicherry
Dilliwaala,4.0,Pondicherry
Artika Cafe Gallery,4.5,Pondicherry
Theevu Plage,4.5,Pondicherry
Carte Blanche,4.0,Pondicherry
Surguru Spot,4.0,Pondicherry
ABAdyar Ananda Bhavan,3.5,Pondicherry
Level Sports Bar,5.0,Pondicherry
Shuffle Momos,5.0,Gangtok
The Coffee Shop Restaurant,4.5,Gangtok
Cafe Live Loud,4.5,Gangtok
Roll House,4.0,Gangtok
Bakers Cafe,4.0,Gangtok
Osm Restro Lounge,4.5,Gangtok
Taste of Tibet,4.0,Gangtok
Khan Uncles Biryani House,4.0,Gangtok
The Square,4.0,Gangtok
The Local Cafe,4.5,Gangtok
The Dragon Wok,4.0,Gangtok
Nimtho,4.5,Gangtok
Hotel SherEPunjab Family Restaurant Bar,4.0,Gangtok
Triptis,4.5,Gangtok
Pub,4.0,Gangtok
The Attic Lounge,5.0,Gangtok
Chopstick,4.0,Gangtok
Rhythm Wine Cafe,4.5,Gangtok
Cafe Infinity,4.5,Gangtok
Agarwals Sweets,4.0,Gangtok
Allens Kitchen,4.5,Gangtok
Cafe Fiction,4.5,Gangtok
Apna Dhaba,4.0,Gangtok
Snow Lion Restaurant,4.0,Gangtok
Thakali,4.0,Gangtok
Agarwal Pure Veg Restaurant,3.5,Gangtok
Rasoi Blue Sheep Restaurant,3.5,Gangtok
Cafe Culture,4.5,Gangtok
Food Court,3.5,Gangtok
cafe coffee day,4.0,Gangtok
Cafe De Piccolo,4.5,Dehradun
Black Pepper,4.0,Dehradun
Kalsang Cafe,4.0,Dehradun
Orchard,4.0,Dehradun
Anandam,4.0,Dehradun
Wild West Cafe Restaurant,5.0,Dehradun
The Terrace Four Points by Sheraton,4.0,Dehradun
Kumar Foods Restaurant,4.0,Dehradun
Gazebo Restaurant Party Lawn,4.5,Dehradun
Y Cafe Restaurant,4.5,Dehradun
Barbeque Nation,4.5,Dehradun
Salt and Cravings,4.5,Dehradun
The Swings Cafe A Family Restaurant Bar,4.5,Dehradun
my wifz place,4.0,Dehradun
South Indian Vibes,4.5,Dehradun
Punjab Grill,4.0,Dehradun
Big Bees Pizzeria Cafe,4.5,Dehradun
Kabila Restaurant,4.0,Dehradun
Zaffran Curries Biryani,5.0,Dehradun
First Gear Cafe,4.0,Dehradun
The Pines Cafe,5.0,Dehradun
Doon Darbar,4.0,Dehradun
Town Table,4.0,Dehradun
Monastery Cafe,5.0,Dehradun
Cafe Cibo,4.0,Dehradun
Cafe Marigold,4.0,Dehradun
Chhaya Cafe,4.5,Dehradun
Tavern Bar and Restaurant,4.5,Dehradun
Malabar Restaurant,5.0,Dehradun
PREZ,4.0,Dehradun
The Tibetan Kitchen,4.5,Leh
Chopsticks Noodle Bar,4.5,Leh
Bon Appetit,4.5,Leh
Gesmo Restaurant,4.0,Leh
Lamayuru Restaurant,4.0,Leh
Sorriso Pizza Meal Mastiyaan,4.5,Leh
Dreamland Restaurant,4.0,Leh
Tsas by Dolkhar,5.0,Leh
Bodhi Greens,5.0,Leh
Lehvenda Cafe,5.0,Leh
Coffee Culture,4.5,Leh
Alchi Kitchen,4.5,Leh
Bobs Cafe,4.5,Leh
World Garden Cafe,4.0,Leh
Neha Snacks,4.0,Leh
Wonderland,4.0,Leh
Sky Wok Ladakh,4.5,Leh
Summer Harvest,4.0,Leh
Kc Garden Restaurant,4.5,Leh
Willow Kitchen And Bar,5.0,Leh
Il Forno,3.5,Leh
The Turnip Pan Indian Restaurant,5.0,Leh
Bon Appetit Restaurant French Bakery,4.0,Leh
Chaska Maska,4.0,Leh
Namza Cafe Designer Store,4.5,Leh
Wanderers Terrace Cafe Leh,4.5,Leh
The Nook,4.5,Leh
Himalaya Cafe,4.0,Leh
Eclectic Kitchen,4.5,Leh
Red Sauce,5.0,Leh
Adalaj Pavilion,5.0,Ahmedabad
Royal Vega,5.0,Ahmedabad
The Great Kabab Factory,4.5,Ahmedabad
Timpani,5.0,Ahmedabad
Yi Jing,5.0,Ahmedabad
Kuro The Asian Bistro,5.0,Ahmedabad
Peshawri,5.0,Ahmedabad
China House,5.0,Ahmedabad
Emperor Lounge,5.0,Ahmedabad
R Kitchen,5.0,Ahmedabad
Shamiana,4.5,Ahmedabad
Silver Dine,5.0,Ahmedabad
Bayleaf,4.5,Ahmedabad
Essence All Day Dining,4.5,Ahmedabad
MoMo Cafe,4.5,Ahmedabad
Swati Snacks,4.5,Ahmedabad
Rajwadu,4.5,Ahmedabad
Barbeque Nation,4.5,Ahmedabad
Nonya By Taj Skyline Ahmedabad,5.0,Ahmedabad
Tinello,4.5,Ahmedabad
Agashiye,4.5,Ahmedabad
Atithi,4.5,Ahmedabad
Gordhan Thal,4.0,Ahmedabad
Vishalla,4.0,Ahmedabad
Gopi Dining Hall,4.0,Ahmedabad
Tomatos,4.0,Ahmedabad
Jassi De Parathe,4.5,Ahmedabad
New FreezeLand,4.5,Ahmedabad
Sasuji,4.0,Ahmedabad
Dravida,4.5,Ahmedabad
Stream Restaurant,4.5,Srinagar
Cafe Tulip,5.0,Srinagar
Lacima cafe and pizzeria,5.0,Srinagar
Ahdoos,4.0,Srinagar
Krishna Vaishno Dhaba,4.0,Srinagar
Shamyana Restaurant,4.0,Srinagar
Niramish,4.5,Srinagar
The Chinar at The LaLiT Grand Palace Srinagar,4.0,Srinagar
Nathu Sweets,4.0,Srinagar
Mughal Darbar,3.5,Srinagar
Chai Jaai,4.5,Srinagar
Earthen Oven Restaurant,4.5,Srinagar
Lhasa Restaurant,4.0,Srinagar
